
; UV and texture definitions for all shop items. 

; UV are optional order is [left, top, right, bottom].
; RGBA is optional too. 

; If you use optional components, all optional components before them must be included!


; ID    Filename    UVs                    RGBA            Border
REMFF2  shop_car_mods  0.5,  0.0,  0.75, 0.25
BRDFBM1 shop_car_mods  0.5,  0.0,  0.75, 0.25
BRDFBM2 shop_car_mods  0.5,  0.0,  0.75, 0.25
SLAFF   shop_car_mods  0.5,  0.0,  0.75, 0.25
TORFB1  shop_car_mods  0.5,  0.0,  0.75, 0.25
TORFB2  shop_car_mods  0.5,  0.0,  0.75, 0.25

;Car front bumper alien

FLSAFF  shop_car_mods2 0.0,  0.5,  0.25, 0.75
FLSCFF  shop_car_mods2 0.0,  0.5,  0.25, 0.75
LGDAFF  shop_car_mods2 0.0,  0.5,  0.25, 0.75
LGDCFF  shop_car_mods2 0.0,  0.5,  0.25, 0.75
JSTAFF  shop_car_mods2 0.0,  0.5,  0.25, 0.75
JSTCFF  shop_car_mods2 0.0,  0.5,  0.25, 0.75
STRAFF  shop_car_mods2 0.0,  0.5,  0.25, 0.75
STRCFF  shop_car_mods2 0.0,  0.5,  0.25, 0.75
SULAFF  shop_car_mods2 0.0,  0.5,  0.25, 0.75
SULCFF  shop_car_mods2 0.0,  0.5,  0.25, 0.75
URAAFF  shop_car_mods2 0.0,  0.5,  0.25, 0.75
URACFF  shop_car_mods2 0.0,  0.5,  0.25, 0.75

;Car Rear Bumper alien

FLSARF  shop_car_mods  0.75, 0.0,  1.0,  0.25
FLSCRF  shop_car_mods  0.75, 0.0,  1.0,  0.25
JSTARF  shop_car_mods  0.75, 0.0,  1.0,  0.25
JSTCRF  shop_car_mods  0.75, 0.0,  1.0,  0.25
LGDARF  shop_car_mods  0.75, 0.0,  1.0,  0.25
LGDCRF  shop_car_mods  0.75, 0.0,  1.0,  0.25
STRARF  shop_car_mods  0.75, 0.0,  1.0,  0.25
STRCRF  shop_car_mods  0.75, 0.0,  1.0,  0.25
SULARF  shop_car_mods  0.75, 0.0,  1.0,  0.25
SULCRF  shop_car_mods  0.75, 0.0,  1.0,  0.25
URAARF  shop_car_mods  0.75, 0.0,  1.0,  0.25
URACRF  shop_car_mods  0.75, 0.0,  1.0,  0.25

;Car Rear Bumper

BLDRF1  shop_car_mods  0.5,  0.5,  0.75, 0.75
BLDRF2  shop_car_mods  0.5,  0.5,  0.75, 0.75
REMRF1  shop_car_mods  0.5,  0.5,  0.75, 0.75
REMRF2  shop_car_mods  0.5,  0.5,  0.75, 0.75
BRDRBM1 shop_car_mods  0.5,  0.5,  0.75, 0.75
BRDRBM2 shop_car_mods  0.5,  0.5,  0.75, 0.75
TORRB1  shop_car_mods  0.5,  0.5,  0.75, 0.75
TORRB2  shop_car_mods  0.5,  0.5,  0.75, 0.75
SAVRF1  shop_car_mods  0.5,  0.5,  0.75, 0.75
SAVRF2  shop_car_mods  0.5,  0.5,  0.75, 0.75

;Car Side Skirts

BMWNG1  shop_car_mods  0.0,  0.75, 0.25, 1.0
BMWNG2  shop_car_mods  0.0,  0.75, 0.25, 1.0
FLSASI  shop_car_mods  0.0,  0.75, 0.25, 1.0
FLSCSI  shop_car_mods  0.0,  0.75, 0.25, 1.0
JSTASI  shop_car_mods  0.0,  0.75, 0.25, 1.0
JSTCSI  shop_car_mods  0.0,  0.75, 0.25, 1.0
LGDASI  shop_car_mods  0.0,  0.75, 0.25, 1.0
LGDCSI  shop_car_mods  0.0,  0.75, 0.25, 1.0
STRASI  shop_car_mods  0.0,  0.75, 0.25, 1.0
SRTCSI  shop_car_mods  0.0,  0.75, 0.25, 1.0
SULASI  shop_car_mods  0.0,  0.75, 0.25, 1.0
SULCSI  shop_car_mods  0.0,  0.75, 0.25, 1.0
URAASI  shop_car_mods  0.0,  0.75, 0.25, 1.0
URACSI  shop_car_mods  0.0,  0.75, 0.25, 1.0

;Car Wheels

SRW3    shop_car_mods3 0.25, 0.75, 0.5,  1.0
SRW4    shop_car_mods3 0.5,  0.75, 0.75, 1.0
SRW5    shop_car_mods3 0.25, 0.75, 0.5,  1.0
SRW6    shop_car_mods3 0.25, 0.75, 0.5,  1.0
GENWH1  shop_car_mods3 0.25, 0.5,  0.5,  0.75
GENWH2  shop_car_mods3 0.5,  0.5,  0.75, 0.75
GENWH3  shop_car_mods3 0.75, 0.5,  1.0,  0.75
GENWH6  shop_car_mods3 0.0,  0.75, 0.25, 1.0 
LRDW1   shop_car_mods3 0.0,  0.0,  0.25, 0.25 
LRDW2   shop_car_mods3 0.25, 0.0,  0.5,  0.25 
LRDW3   shop_car_mods3 0.5,  0.0,  0.75, 0.25 
LRDW4   shop_car_mods3 0.75, 0.0,  1.0,  0.25
LRDW5   shop_car_mods3 0.0,  0.25, 0.25, 0.5
SRW1    shop_car_mods3 0.25, 0.25, 0.5,  0.5
SRW2    shop_car_mods3 0.5,  0.25, 0.75, 0.5
GENWH4  shop_car_mods3 0.75, 0.25, 1.0,  0.5
GENWH5  shop_car_mods3 0.0,  0.5,  0.25, 0.75

;Car Roof

BLDVH   shop_car_mods  0.25, 0.0,  0.5,  0.25 
BLDCR   shop_car_mods  0.25, 0.0,  0.5,  0.25
SAVHA   shop_car_mods  0.25, 0.0,  0.5,  0.25 
SAVST   shop_car_mods  0.25, 0.0,  0.5,  0.25

;Car Spoiler

FLSAS   shop_car_mods2 0.75, 0.0,  1.0,  0.25
FLSCS   shop_car_mods2 0.75, 0.0,  1.0,  0.25
JSTAS   shop_car_mods2 0.75, 0.0,  1.0,  0.25
JSTCS   shop_car_mods2 0.75, 0.0,  1.0,  0.25
LGDAS   shop_car_mods2 0.75, 0.0,  1.0,  0.25
LGDCS   shop_car_mods2 0.75, 0.0,  1.0,  0.25
STRAS   shop_car_mods2 0.75, 0.0,  1.0,  0.25
STRCS   shop_car_mods2 0.75, 0.0,  1.0,  0.25
SULAS   shop_car_mods2 0.75, 0.0,  1.0,  0.25
SULCS   shop_car_mods2 0.75, 0.0,  1.0,  0.25
URAAUB  shop_car_mods2 0.75, 0.0,  1.0,  0.25
URACUB  shop_car_mods2 0.75, 0.0,  1.0,  0.25
BMMABBS shop_car_mods2 0.75, 0.0,  1.0,  0.25
BMMBS   shop_car_mods2 0.75, 0.0,  1.0,  0.25
BMMABS  shop_car_mods2 0.75, 0.0,  1.0,  0.25
BMLARBS shop_car_mods2 0.75, 0.0,  1.0,  0.25
BMMARBS shop_car_mods2 0.75, 0.0,  1.0,  0.25
BMLRS   shop_car_mods2 0.75, 0.0,  1.0,  0.25
BMMRS   shop_car_mods2 0.75, 0.0,  1.0,  0.25
BMMARS  shop_car_mods2 0.75, 0.0,  1.0,  0.25

;Car hood scoop

BMBLBS  shop_car_mods  0.5,  0.75, 0.75, 1.0
BMBMBS  shop_car_mods  0.5,  0.75, 0.75, 1.0
BMBLCS  shop_car_mods  0.5,  0.75, 0.75, 1.0
BMBMCS  shop_car_mods  0.5,  0.75, 0.75, 1.0

;Car Hood Vent

BMBOBV  shop_car_mods2 0.5,  0.0,  0.75, 0.25
BMBSBV  shop_car_mods2 0.5,  0.0,  0.75, 0.25

;Car Lights

BMBRSL  shop_car_mods2 0.25, 0.0,  0.5,  0.25
BMBSSL  shop_car_mods2 0.0,  0.25, 0.25, 0.5

;Car Front bullbars

SLAFB1  shop_car_mods  0.75, 0.75, 1.0,  1.0
SLAFB2  shop_car_mods  0.75, 0.75, 1.0,  1.0

;Car rear bullbars

SLARB1  shop_car_mods2 0.75, 0.25, 1.0,  0.5
SLARB2  shop_car_mods2 0.75, 0.25, 1.0,  0.5

;Car Remington Misc

REMCG   shop_car_mods  0.75, 0.5,  1.0,  0.75
REMCB   shop_car_mods  0.75, 0.5,  1.0,  0.75
REMCL   shop_car_mods2 0.25, 0.0,  0.5,  0.25

;Car Roof Vent

BMBRS   shop_car_mods  0.25, 0.75, 0.5,  1.0
FLSARV  shop_car_mods  0.25, 0.75, 0.5,  1.0
FLSCRV  shop_car_mods  0.25, 0.75, 0.5,  1.0
JSTARV  shop_car_mods  0.25, 0.75, 0.5,  1.0
JSTCRV  shop_car_mods  0.25, 0.75, 0.5,  1.0
LGDARV  shop_car_mods  0.25, 0.75, 0.5,  1.0
LGDCRV  shop_car_mods  0.25, 0.75, 0.5,  1.0
STRARV  shop_car_mods  0.25, 0.75, 0.5,  1.0
STRCRV  shop_car_mods  0.25, 0.75, 0.5,  1.0
SULARV  shop_car_mods  0.25, 0.75, 0.5,  1.0
SULCRV  shop_car_mods  0.25, 0.75, 0.5,  1.0
URAARV  shop_car_mods  0.25, 0.75, 0.5,  1.0
URACRV  shop_car_mods  0.25, 0.75, 0.5,  1.0

;Car Paint Jobs

PJOB1   shop_car_mods2 0.5,  0.25, 0.75, 0.5
PJOB2   shop_car_mods2 0.5,  0.25, 0.75, 0.5
PJOB3   shop_car_mods2 0.5,  0.25, 0.75, 0.5
PAINTJB shop_car_mods2 0.5,  0.25, 0.75, 0.5

;Car Lowrider side strip

SAVCS   shop_car_mods  0.25, 0.25, 0.5,  0.5
BLDCS   shop_car_mods  0.25, 0.25, 0.5,  0.5
BRDWNG1 shop_car_mods  0.25, 0.25, 0.5,  0.5
TORWNG  shop_car_mods  0.25, 0.25, 0.5,  0.5
REMCA   shop_car_mods  0.25, 0.25, 0.5,  0.5
REMCA2  shop_car_mods  0.25, 0.25, 0.5,  0.5
SLACT   shop_car_mods  0.25, 0.25, 0.5,  0.5
SLAWC   shop_car_mods  0.25, 0.25, 0.5,  0.5


CARCOL1 shop_car_mods  0.0,  0.25, 0.25, 0.5 255 255 255 255 TRUE
CARCOL2 shop_car_mods  0.25, 0.25, 0.5,  0.5 255 255 255 255 TRUE
STEREO  shop_car_mods  0.75, 0.25, 1.0,  0.5
HYDRAU  shop_car_mods  0.0,  0.5,  0.25, 0.75
BMBSM   shop_car_mods  0.25, 0.5,  0.5,  0.75 
BMBLN   shop_car_mods  0.25, 0.5,  0.5,  0.75  
BMBTN   shop_car_mods  0.25, 0.5,  0.5,  0.75 


; Ammu-Nation gun types.

GUN1    colt45icon       0.0,  0.0,  1.0,  1.0     
GUN3    micro_uziicon    0.0,  0.0,  1.0,  1.0 
GUN2    chromegunicon    0.0,  0.0,  1.0,  1.0   
GUN7    grenadeicon      0.0,  0.0,  1.0,  1.0 
GUN8    armoricon        0.0,  0.0,  1.0,  1.0  
GUN6    cuntgunicon      0.0,  0.0,  1.0,  1.0  
GUN4    tec9icon         0.0,  0.0,  1.0,  1.0  
GUN5    M4icon           0.0,  0.0,  1.0,  1.0  

; Ammu-Nation available guns.

PISTOL  colt45icon       0.0,  0.0,  1.0,  1.0
PISTSL  silencedicon     0.0,  0.0,  1.0,  1.0  
DEAGLE  desert_eagleicon 0.0,  0.0,  1.0,  1.0
GRENADE grenadeicon      0.0,  0.0,  1.0,  1.0
SHOTGN1 chromegunicon    0.0,  0.0,  1.0,  1.0
SHOTGN2 shotgspaicon     0.0,  0.0,  1.0,  1.0
SHOTGN3 sawnofficon      0.0,  0.0,  1.0,  1.0
UZI     micro_uziicon    0.0,  0.0,  1.0,  1.0
TEC9    tec9icon         0.0,  0.0,  1.0,  1.0
MP5     mp5lngicon       0.0,  0.0,  1.0,  1.0
AK      ak47icon         0.0,  0.0,  1.0,  1.0
M4      M4icon           0.0,  0.0,  1.0,  1.0
RIFLE   cuntgunicon      0.0,  0.0,  1.0,  1.0
SNIPE   SNIPERicon       0.0,  0.0,  1.0,  1.0
ROCKET  rocketlaicon     0.0,  0.0,  1.0,  1.0
ROCKHS  heatseekicon     0.0,  0.0,  1.0,  1.0
FLAMET  flameicon        0.0,  0.0,  1.0,  1.0
DETONA  satchelicon      0.0,  0.0,  1.0,  1.0
MINIGU  minigunicon      0.0,  0.0,  1.0,  1.0
ARMOUR  armoricon        0.0,  0.0,  1.0,  1.0


; Food items.

BURLOW  shop_icons     0.75, 0.0,  1.0,  0.25
BURMED  shop_icons     0.0,  0.25, 0.25, 0.5
BURHIG  shop_icons     0.25, 0.25, 0.5,  0.5 
BURHEAL shop_icons     0.5,  0.25, 0.75, 0.5
CLULOW  shop_icons     0.75, 0.25, 1.0,  0.5
CLUMED  shop_icons     0.0,  0.5,  0.25, 0.75
CLUHIG  shop_icons     0.25, 0.5,  0.5,  0.75 
CLUHEAL shop_icons     0.5,  0.5,  0.75, 0.75
PIZLOW  shop_icons     0.75, 0.5,  1.0,  0.75
PIZMED  shop_icons     0.0,  0.75, 0.25, 1.0
PIZHIG  shop_icons     0.25, 0.75, 0.5,  1.0 
PIZHEAL shop_icons     0.5,  0.25, 0.75, 0.5
RUSLOW  shop_icons     0.5,  0.75, 0.75, 1.0
RUSMED  shop_icons     0.75, 0.75, 1.0,  1.0
RUSHIG  shop_bodyparts 0.5,  0.75, 0.75, 1.0

; Gym items.

GYM1_8  shop_icons 0.25, 0.0,  0.5,  0.25
GYM1_9  shop_icons 0.25, 0.0,  0.5,  0.25
GYM1_10 shop_icons 0.25, 0.0,  0.5,  0.25
GYM1_11 shop_icons 0.25, 0.0,  0.5,  0.25
GYM1_12 shop_icons 0.25, 0.0,  0.5,  0.25
GYM1_13 shop_icons 0.25, 0.0,  0.5,  0.25
GYM1_14 shop_icons 0.25, 0.0,  0.5,  0.25
GYM1_15 shop_icons 0.25, 0.0,  0.5,  0.25 
GYM1_16 shop_icons 0.25, 0.0,  0.5,  0.25
GYM1_17 shop_icons 0.25, 0.0,  0.5,  0.25

GYM1_26 shop_icons 0.0,  0.0,  0.25, 0.25
GYM1_27 shop_icons 0.0,  0.0,  0.25, 0.25
GYM1_28 shop_icons 0.0,  0.0,  0.25, 0.25
GYM1_29 shop_icons 0.0,  0.0,  0.25, 0.25 
GYM1_30 shop_icons 0.0,  0.0,  0.25, 0.25
GYM1_31 shop_icons 0.0,  0.0,  0.25, 0.25
GYM1_32 shop_icons 0.0,  0.0,  0.25, 0.25
GYM1_33 shop_icons 0.0,  0.0,  0.25, 0.25
GYM1_34 shop_icons 0.0,  0.0,  0.25, 0.25
GYM1_35 shop_icons 0.0,  0.0,  0.25, 0.25

GYM1_61 shop_icons 0.5,  0.0,  0.75, 0.25
GYM1_62 shop_icons 0.5,  0.0,  0.75, 0.25
GYM1_63 shop_icons 0.5,  0.0,  0.75, 0.25
GYM1_64 shop_icons 0.5,  0.0,  0.75, 0.25
GYM1_65 shop_icons 0.5,  0.0,  0.75, 0.25
GYM1_66 shop_icons 0.5,  0.0,  0.75, 0.25
GYM1_67 shop_icons 0.5,  0.0,  0.75, 0.25
GYM1_68 shop_icons 0.5,  0.0,  0.75, 0.25
GYM1_69 shop_icons 0.5,  0.0,  0.75, 0.25
GYM1_70 shop_icons 0.5,  0.0,  0.75, 0.25
